Id,Nro víctimas,Año,Mes,Día,Hora estandar,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Hora,Rol,Sexo,Edad,FECHA_FALLECIMIENTO,BARRIOS,AREA
2019-0093,1,2019,Noviembre,Miércoles,11,AVENIDA,SI,"NIZA y JUSTO, JUAN B. AV.",11,-58.46483679,-34.60907662,BICICLETA-OTRO,BICICLETA,OTRO,11,CICLISTA,MASCULINO,16,11/13/2019,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,14120042.4238
2019-0094,1,2019,Noviembre,Lunes,14,CALLE,SI,CAMARGO y SERRANO,15,-58.44368628,-34.59724326,MOTO-OTRO,MOTO,OTRO,14,PASAJERO_ACOMPAÑANTE,FEMENINO,0,11/18/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0095,1,2019,Noviembre,Miércoles,15,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO-CARGAS,MOTO,CARGAS,15,CONDUCTOR,MASCULINO,0,11/20/2019,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2019-0096,1,2019,Noviembre,Viernes,19,AVENIDA,SI,CASEROS AV. y PIEDRAS,1,-58.37560352,-34.62726382,PEATON-PASAJEROS,PEATON,PASAJEROS,19,PEATON,MASCULINO,73,11/22/2019,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2019-0097,1,2019,Noviembre,Lunes,8,AUTOPISTA,NO,AUTOPISTA PERITO MORENO KM. 5.6,9,-58.47721439,-34.64815069,MULTIPLE,MOTO,MULTIPLE,8,PASAJERO_ACOMPAÑANTE,FEMENINO,23,11/25/2019,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2019-0098,1,2019,Noviembre,Lunes,14,AVENIDA,NO,GUZMAN 365,15,-58.45134029,-34.58984288,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,14,PASAJERO_ACOMPAÑANTE,FEMENINO,61,11/29/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0100,1,2019,Diciembre,Jueves,17,AVENIDA,NO,DE LOS CONSTITUYENTES AV. 4300,12,-58.49040794,-34.58368803,MOTO-AUTO,MOTO,AUTO,17,CONDUCTOR,MASCULINO,38,12/18/2019,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,15570926.6376
2019-0101,1,2019,Diciembre,Martes,4,AVENIDA,SI,"MORENO, PERITO AV. y TILCARA AV.",4,-58.42102679,-34.64991178,MOTO-MOTO,MOTO,MOTO,4,CONDUCTOR,MASCULINO,25,12/17/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0102,1,2019,Diciembre,Martes,14,CALLE,SI,"IBARROLA y GORDILLO, TIMOTEO",9,-58.52219407,-34.64143926,MOTO-AUTO,MOTO,AUTO,14,CONDUCTOR,MASCULINO,18,12/18/2019,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2019-0103,1,2019,Diciembre,Miércoles,14,GRAL PAZ,SI,"PAZ, GRAL. AV. y GRIVEO",11,-58.52169422,-34.5947164,MOTO-MOTO,MOTO,MOTO,9,CONDUCTOR,MASCULINO,24,12/18/2019,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,14120042.4238
